legajo,nombre,fecha,hora,tipo,turno
1001,Juan Pérez,2025-12-15,08:00,entrada,mañana
1001,Juan Pérez,2025-12-15,16:30,salida,mañana
1002,María González,2025-12-15,14:00,entrada,tarde
1002,María González,2025-12-15,22:15,salida,tarde
1003,Pedro Sánchez,2025-12-15,08:15,entrada,mañana
1003,Pedro Sánchez,2025-12-15,16:30,salida,mañana
1004,Ana Rodríguez,2025-12-16,08:00,entrada,mañana
1004,Ana Rodríguez,2025-12-16,16:30,salida,mañana
1005,Carlos Martínez,2025-12-16,14:30,entrada,tarde
1005,Carlos Martínez,2025-12-16,22:15,salida,tarde
